STATION_ID,STATION_Name,STATION_PRO,STATION_TYPE,STATION_LNG,STATION_LAT,DATA_FROM_SOURCE
S0026330010110,磐安收费站,zhejiang,MAIN_LINE_PLAZA,120.425147,28.974368,0
S0027330010030,方岩收费站,zhejiang,RAMP_PLAZA,120.166433,28.945695,0
G0060330010020,嘉善收费站,zhejiang,RAMP_PLAZA,120.951766,30.795663,0
G0060330020010,萧山东收费站,zhejiang,RAMP_PLAZA,120.343627,30.175846,0
G0060330020220,窑上收费站,zhejiang,PROVINCE_STATION_COMMON,118.353673,28.814488,0
G0025330040150,梅岙收费站,zhejiang,RAMP_PLAZA,120.573405,28.111685,0
G0015330100030,白水洋收费站,zhejiang,RAMP_PLAZA,120.910422,28.878432,0
G0025330020050,灵桥收费站,zhejiang,RAMP_PLAZA,120.033118,30.017092,0
G0015330110050,塘下收费站,zhejiang,RAMP_PLAZA,120.668547,27.849544,0
G0025330010100,父子岭收费站,zhejiang,PROVINCE_STATION_INDEPENDENT,119.917247,31.161147,0
G0092330010070,绍兴收费站,zhejiang,RAMP_PLAZA,120.612709,30.107445,0
G0025330030040,云和收费站,zhejiang,RAMP_PLAZA,119.592685,28.100389,0
G060N330020030,新桥收费站,zhejiang,RAMP_PLAZA,118.734128,29.169038,0
S0026330010040,街亭收费站,zhejiang,MAIN_LINE_PLAZA,120.278188,29.626943,0
G0025330040170,娄桥收费站,zhejiang,RAMP_PLAZA,120.595057,27.965931,0
G0025330030070,龙泉东收费站,zhejiang,RAMP_PLAZA,119.191603,28.043442,0
S0014330020050,径山收费站,zhejiang,MAIN_LINE_PLAZA,119.89336,30.391008,0
S0020330010050,穿山港区收费站,zhejiang,MAIN_LINE_PLAZA,122.029051,29.866056,0
S0045330010030,苏溪收费站,zhejiang,RAMP_PLAZA,120.161023,29.388446,0
G2501330010040,留下收费站,zhejiang,RAMP_PLAZA,120.044216,30.242141,0
G0092330010180,鄞州收费站,zhejiang,RAMP_PLAZA,121.565624,29.840981,0
G0060330010070,屠甸收费站,zhejiang,RAMP_PLAZA,120.637897,30.576968,0
G0015330110020,蒲岐收费站,zhejiang,RAMP_PLAZA,121.050797,28.167937,0
G0060330020140,金华西收费站,zhejiang,RAMP_PLAZA,119.374433,29.095026,0
G0056330010040,龙岗收费站,zhejiang,RAMP_PLAZA,119.141576,30.165563,0
