ID,STATION_TYPE
G0018120010030,PROVINCE_STATION_COMMON
G0045410120030,PROVINCE_STATION_INDEPENDENT
S0038340010010,PROVINCE_STATION_INDEPENDENT
S0011120010010,PROVINCE_STATION_COMMON
G9999459998010,PROVINCE_STATION_COMMON
G0050310010080,PROVINCE_STATION_COMMON
G0002310010030,PROVINCE_STATION_COMMON
G0003320010010,PROVINCE_STATION_COMMON
G0004130020180,PROVINCE_STATION_INDEPENDENT
G0065510020110,PROVINCE_STATION_INDEPENDENT
G0075510010010,PROVINCE_STATION_COMMON
G4215510030090,PROVINCE_STATION_INDEPENDENT
S0011110030090,PROVINCE_STATION_INDEPENDENT
G1817640010010,PROVINCE_STATION_INDEPENDENT
G0001130010010,PROVINCE_STATION_COMMON
G5512140760010,PROVINCE_STATION_INDEPENDENT
G0060330020220,PROVINCE_STATION_COMMON
G0025330010100,PROVINCE_STATION_INDEPENDENT
G004E420020030,PROVINCE_STATION_COMMON
S0015520010010,PROVINCE_STATION_COMMON
G0060520010010,PROVINCE_STATION_INDEPENDENT
G04W2440010010,PROVINCE_STATION_COMMON
G0085510570160,PROVINCE_STATION_INDEPENDENT
S0068320010030,PROVINCE_STATION_COMMON
G0055430050070,PROVINCE_STATION_COMMON
G0060360250010,PROVINCE_STATION_COMMON
S0006340010010,PROVINCE_STATION_COMMON
G0002110010050,PROVINCE_STATION_COMMON
G0045110020020,PROVINCE_STATION_INDEPENDENT
S0038410010010,PROVINCE_STATION_INDEPENDENT
G0006130010060,PROVINCE_STATION_INDEPENDENT
G0085500020120,PROVINCE_STATION_COMMON
S0015110010050,PROVINCE_STATION_INDEPENDENT
G0080440031060,PROVINCE_STATION_INDEPENDENT
G0020640010010,PROVINCE_STATION_INDEPENDENT
S0011120020060,PROVINCE_STATION_COMMON
G0060530010080,PROVINCE_STATION_INDEPENDENT
S0050140310050,PROVINCE_STATION_INDEPENDENT
G0025210010010,PROVINCE_STATION_COMMON
G0093510040010,PROVINCE_STATION_COMMON
G0078530050070,PROVINCE_STATION_INDEPENDENT
G0035410010010,PROVINCE_STATION_INDEPENDENT
G1517360400030,PROVINCE_STATION_INDEPENDENT
G0076510030070,PROVINCE_STATION_INDEPENDENT
S0046140180010,PROVINCE_STATION_COMMON
G0004440010010,PROVINCE_STATION_INDEPENDENT
