ID,STATION_NAME,PROVINCE,slng,slat,statName交易,statName地图,经度差,纬度差,provName,id,statName,lng_x,lat_x,prov,Name,Province,lng_y,lat_y
S0002510010030,巴南观音庵,sichuan,,,巴南观音庵,,,,sichuan,,,,,,观音庵收费站,SI_CHUAN,106.471027,31.611947999999998
S0002510010070,巴南铁佛堂,sichuan,,,巴南铁佛堂,,,,sichuan,,,,,,铁佛塘收费站,SI_CHUAN,106.15983100000001,31.237513
G0601640010020,银川北匝道,ningxia,,,银川北匝道,,,,ningxia,,,,,,银川北收费站,NING_XIA,106.332986,38.568261
G1816640010010,石银,ningxia,,,石银,,,,ningxia,,,,,,石银高速收费站,NING_XIA,106.117949,38.60989
S0081360550020,铜万路黄岗,jiangxi,,,铜万路黄岗,,,,jiangxi,,,,,,黄岗收费站,JIANG_XI,114.565472,28.455274
G2511150020030,阿古拉,neimenggu,,,阿古拉,阿古拉收费站,,,neimenggu,2110056770.0,阿古拉,122.40247,43.29704,neimenggu,阿古拉收费站,NEI_MENG_GU,122.402455,43.297038
G0045150020080,奈曼交接,neimenggu,,,奈曼交接,,,,neimenggu,,,,,,奈曼收费站,NEI_MENG_GU,120.74708899999999,42.687207
S0089360410030,萍洪路上栗,jiangxi,,,萍洪路上栗,,,,jiangxi,,,,,,上栗收费站,JIANG_XI,113.784752,27.851932
G6011360700040,兴赣路江口,jiangxi,,,兴赣路江口,,,,jiangxi,,,,,,江口收费站,JIANG_XI,115.13403899999999,25.973539000000002
G0045150030060,三道井交接,neimenggu,,,三道井交接,,,,neimenggu,,,,,,三道井收费站,NEI_MENG_GU,119.042422,42.255210999999996
G0045150030030,新惠,neimenggu,,,新惠,新惠收费站,,,neimenggu,2110016461.0,新惠,119.93283999999998,42.38726,neimenggu,新惠收费站,NEI_MENG_GU,119.97041899999999,42.490475
G0045150040020,大营子,neimenggu,,,大营子,,,,neimenggu,,,,,,大营子收费站,NEI_MENG_GU,118.92361799999999,42.109939000000004
G0045150040030,锦山东,neimenggu,,,锦山东,锦山东收费站,,,neimenggu,2110053234.0,锦山东,118.74031000000001,41.95966,neimenggu,锦山东收费站,NEI_MENG_GU,118.74033899999999,41.959734000000005
S0030440020030,土洋,guangdong,114.39265,22.615782,土洋,土洋收费站,0.00489,0.002682,guangdong,2110038085.0,土洋,114.39753999999999,22.6131,guangdong,土洋收费站,GUANG_DONG,114.397671,22.611746
G0015440060080,荷坳匝道,guangdong,114.212907,22.679849,荷坳匝道,,,,guangdong,,,,,,荷坳收费站,GUANG_DONG,114.21778799999998,22.677056
G4501110060020,温阳,beijing,116.14564399999999,40.095453000000006,温阳,,,,beijing,,,,,,温阳路收费站,BEI_JING,116.156973,40.098089
G4501110030030,磁各庄,beijing,116.405409,39.719838,磁各庄,磁各庄收费站,0.000221,0.001232,beijing,2110005453.0,磁各庄,116.40563,39.721070000000005,beijing,磁各庄收费站,BEI_JING,116.41261999999999,39.721336
G4501110010040,顺义南环,beijing,116.631174,40.079409999999996,顺义南环,顺义南环收费站,0.005896,0.001,beijing,2110005589.0,顺义南环,116.63707,40.08041,beijing,顺义南环收费站,BEI_JING,116.637029,40.080360999999996
S0032110010100,赵庄户,beijing,117.070136,40.083833,赵庄户,赵庄户收费站,0.006494,0.001347,beijing,2110005682.0,赵庄户,117.07663000000001,40.08518,beijing,赵庄户收费站,BEI_JING,117.07661399999999,40.084959000000005
G0006110010190,西拨子,beijing,115.974258,40.361057,西拨子,西拨子收费站,0.006332,0.0010630000000000001,beijing,2110005559.0,西拨子,115.98058999999999,40.362120000000004,beijing,西拨子收费站,BEI_JING,115.98035300000001,40.362219
G0006110010020,上清,beijing,116.35349199999999,40.021359999999994,上清,上清收费站,0.000452,0.00373,beijing,2110005787.0,上清,116.35304,40.025090000000006,beijing,上清收费站,BEI_JING,116.35302800000001,40.025046
G0030620090050,山丹东,gansu,101.167816,38.755394,山丹东,山丹东收费站,0.001714,0.000596,gansu,2110025850.0,山丹东,101.16953000000001,38.755990000000004,gansu,山丹东收费站,GAN_SU,101.169527,38.75591
G0003350010090,建阳南,fujian,,,建阳南,建阳南收费站,,,fujian,2110031811.0,建阳南,118.12541999999999,27.23338,fujian,建阳南收费站,FU_JIAN,118.12538300000001,27.23338
G2517350030020,安溪东溪,fujian,,,安溪东溪,,,,fujian,,,,,,安溪东溪收费站,FU_JIAN,118.134119,25.252958
G0076350030030,南靖丰田,fujian,,,南靖丰田,南靖丰田收费站,,,fujian,2110031261.0,南靖丰田,117.45506,24.6494,fujian,南靖丰田收费站,FU_JIAN,117.455024,24.649468
G0076350030040,漳州西,fujian,,,漳州西,漳州西收费站,,,fujian,2110031296.0,漳州西,117.62261000000001,24.58596,fujian,漳州西收费站,FU_JIAN,117.622623,24.585891
G0003350040010,闽清东桥,fujian,,,闽清东桥,,,,fujian,,,,,,闽清东桥收费站,FU_JIAN,118.916348,26.381926
G0003350040050,闽侯甘蔗,fujian,,,闽侯甘蔗,,,,fujian,,,,,,闽侯甘蔗收费站,FU_JIAN,119.18416200000001,26.161151
S2513350010010,上杭白砂,fujian,,,上杭白砂,上杭白砂收费站,,,fujian,2110045163.0,上杭白砂,116.58415,25.12564,fujian,上杭白砂收费站,FU_JIAN,116.58421399999999,25.125607000000002
G0076350050080,古田,fujian,,,古田,古田收费站,,,fujian,2110031960.0,古田,116.77436000000002,25.1789,fujian,古田收费站,FU_JIAN,116.7744,25.17887
G0025350020060,尤溪,fujian,,,尤溪,尤溪收费站,,,fujian,2110031544.0,尤溪,118.2811,26.29822,fujian,尤溪收费站,FU_JIAN,118.28084299999999,26.298273
S0010350030040,延平洋后,fujian,,,延平洋后,,,,fujian,,,,,,延平洋后收费站,FU_JIAN,118.522861,26.628246999999998
G0015350010130,下白石,fujian,,,下白石,下白石收费站,,,fujian,2110031702.0,下白石,119.68027,26.812920000000002,fujian,下白石收费站,FU_JIAN,119.68011499999999,26.812856
G15W3350020010,宁德东,fujian,,,宁德东,,,,fujian,,,,,,宁德东收费站,FU_JIAN,119.59916000000001,26.670405
S0012350040010,溪南,fujian,,,溪南,溪南收费站,,,fujian,2110041023.0,溪南,117.55885,25.356,fujian,溪南收费站,FU_JIAN,117.55861200000001,25.355976000000002
G0015350050050,涵江,fujian,,,涵江,涵江收费站,,,fujian,2110031808.0,涵江,119.1619,25.455479999999998,fujian,涵江收费站,FU_JIAN,119.16228899999999,25.455448
G15W3350070050,安溪龙门,fujian,,,安溪龙门,安溪龙门收费站,,,fujian,2110045169.0,安溪龙门,118.08123,24.95618,fujian,安溪龙门收费站,FU_JIAN,118.081277,24.95599
G15W3350080010,长泰枋洋,fujian,,,长泰枋洋,长泰枋洋收费站,,,fujian,2110056173.0,长泰枋洋,117.90098,24.788829999999997,fujian,长泰枋洋收费站,FU_JIAN,117.90097,24.788883
G1514350010060,水吉,fujian,,,水吉,水吉收费站,,,fujian,2110045119.0,水吉,118.34759,27.43555,fujian,水吉收费站,FU_JIAN,118.34769299999999,27.435345
G1517350010030,涵江萩芦,fujian,,,涵江萩芦,,,,fujian,,,,,,涵江萩芦收费站,FU_JIAN,119.116575,25.535949
