"ID","Name","Province","lng","lat"
"G0016150020010","阿其乌拉出口","NEI_MENG_GU","116.715476","43.501975"
"S0011120010010","涧河收费站","TIAN_JIN",,
"G9999459998010","收费站A收费站","GUANG_XI",,
"G0094440060050","华为南收费站","GUANG_DONG",,
"S0013440010090","前詹收费站","GUANG_DONG",,
"G0075440010080","沙坡收费站","GUANG_DONG",,
"G0016150030020","巴林收费站","NEI_MENG_GU","118.636656","43.267742"
"S0033440010030","洲石北收费站","GUANG_DONG",,
"G0036410050020","洛河北收费站","HE_NAN",,
"G0085530020020","悦墨收费站","YUN_NAN",,
"S0314340010010","皖s445博望收费站","AN_HUI",,
"S0038410010010","新阳豫皖省界收费站","HE_NAN",,
"G3014650010060","北屯工业园区收费站","XIN_JIANG",,
"G0006110010170","岔道城收费站","BEI_JING",,
"G1113210020040","宁官收费站","LIAO_NING","123.285542","41.756668"
"G4011320010010","世业收费站","JIANG_SU","119.360581","32.216269"
"S0024150010040","乌拉哈收费站","NEI_MENG_GU","113.521413","40.809280"
"S0031150020010","准兴黄河收费站","NEI_MENG_GU","111.430729","40.107838"
"S4203510010130","盘鳌收费站","SI_CHUAN",,
"G2511150010080","科尔沁收费站","NEI_MENG_GU","122.378071","43.673845"
"S0040430010030","长沙收费站","HU_NAN","113.064640","28.230572"
"G6517450010060","六巷收费站","GUANG_XI",,
"G0075450010020","车河收费站","GUANG_XI",,
"G0025330010060","湖州鹿山收费站","ZHE_JIANG",,
"S0002517570020","沙滩收费站","SI_CHUAN",,
"S0020520010100","周家院收费站","GUI_ZHOU",,
"S0032440013040","奕垌收费站","GUANG_DONG",,
"S0031150030060","大饭铺收费站","NEI_MENG_GU","111.133543","39.799270"
"S0089520010040","刘家院收费站","GUI_ZHOU",,
"G0094440020120","蓬江主线收费站","GUANG_DONG",,
"G0018150050020","框框井收费站","NEI_MENG_GU","107.884899","39.249587"
"G0003340070010","黄山南门收费站","AN_HUI",,
"S0049320040030","秦栏收费站","AN_HUI","119.133025","32.583583"
"G0001210060110","孟姜收费站","HE_BEI","119.817130","40.043543"
"G0011230030050","杏山收费站","HEI_LONG_JIANG",,
"Z0003230010030","温家窑收费站","HEI_LONG_JIANG",,
"S0089410010060","周口刘园收费站","HE_NAN",,
"S4203510010070","仁寿大化收费站","SI_CHUAN",,
"G094W440011030","洪湾开放收费站","GUANG_DONG",,
"G9998459995010","收费站A收费站","GUANG_XI",,
"G0035370020060","仵楼收费站","SHAN_DONG",,
"G0075440010040","青平收费站","GUANG_DONG",,
"G0015440080050","小塘收费站","GUANG_DONG",,
"S0070510010030","上西坝收费站","SI_CHUAN",,
"S0031150010030","托克托收费站","NEI_MENG_GU","111.256522","40.236681"
"G0111130010130","涧河收费站","HE_BEI",,
"G0015440040010","潭西收费站","GUANG_DONG",,
"G0015440040040","后门收费站","GUANG_DONG",,
"G0040410010010","沪陕豫皖界收费站","HE_NAN",,
"G1511410010010","日兰豫鲁界收费站","HE_NAN",,
"G0018150020010","鄂市窑沟收费站","NEI_MENG_GU",,
"G094W440011010","洪湾收费站","GUANG_DONG",,
"G9998459996010","收费站A收费站","GUANG_XI",,
"G0045360680090","赣定路省界收费站","JIANG_XI",,
"G0070360130030","东馆收费站","JIANG_XI","116.476853","27.792313"
"G0007150030020","敖伦布拉格收费站","NEI_MENG_GU",,
"S0031150010010","呼和浩特南收费站","NEI_MENG_GU","111.549382","40.694502"
"G0020370070050","青银鲁冀收费站","SHAN_DONG",,
"G0072430030530","珠晖南收费站","HU_NAN","112.678210","26.816967"
"G0065610130110","陕川界收费站","SHAAN_XI",,
"S0020430040020","大栗港收费站","HU_NAN","111.938137","28.475890"
"S0039440010090","新联标识收费站","GUANG_DONG",,
"G6001520010020","笋子林收费站","GUI_ZHOU",,
"G0025440070060","坑塘径收费站","GUANG_DONG",,
"G0078530010040","江召金鸡收费站","YUN_NAN",,
"G0035440020010","凌坑收费站","GUANG_DONG",,
"S0012210020040","刑屯收费站","LIAO_NING","121.500912","39.501726"
"S0050640010030","海原主线收费站","NING_XIA",,
"S0342320020010","宜漕收费站","JIANG_SU",,
"S0032410070010","许亳省界收费站","HE_NAN",,
"S0007340010090","司巷收费站","AN_HUI",,
"S0049440010060","冲篓收费站","GUANG_DONG",,
"G0055410010010","二广豫晋省界收费站","HE_NAN",,
"S0028410060040","济邵豫晋收费站","HE_NAN",,
"G0007150010040","高路三瑞里互通收费站","NEI_MENG_GU",,
"G0025320050010","天长收费站","AN_HUI","118.734868","32.661943"
"S0011430030110","高陇收费站","HU_NAN","113.777242","26.953445"
"G0030410050080","连霍豫陕界收费站","HE_NAN",,
"S0008440010060","铁东收费站","GUANG_DONG",,
"S0015440010060","横沙收费站","GUANG_DONG",,
"G0005510010020","中子收费站","SI_CHUAN",,
"S0029360160020","赣皖界新安收费站","JIANG_XI",,
"G0016150010030","锡盟阿其乌拉收费站","NEI_MENG_GU",,
"G0003340080020","璜源收费站","AN_HUI",,
"S0027150010090","哈毕日嘎收费站","NEI_MENG_GU","115.686277","42.281317"
"G0004440030420","广氮收费站","GUANG_DONG",,
"G1501440030070","东涌标识收费站","GUANG_DONG",,
"G2511150010030","朱日和收费站","NEI_MENG_GU","112.877062","42.404813"
"G0025440060100","围顶收费站","GUANG_DONG",,
"G004W440020010","石基收费站","GUANG_DONG",,
"S0010520010030","简家坪收费站","GUI_ZHOU",,
"S0046360610030","赣闽省界主线收费站","JIANG_XI","117.112252","27.706633"
"G0025440030050","歧岭收费站","GUANG_DONG",,
"G004E440010030","苏村收费站","GUANG_DONG",,
"G0010230030050","哈尔滨收费站","HEI_LONG_JIANG","126.517156","45.847858"
"G0018150010050","呼市窑沟收费站","NEI_MENG_GU",,
"G5511150010040","蘑菇气收费站","NEI_MENG_GU","122.390408","47.486238"
"G004W440030120","南朗收费站","GUANG_DONG",,
"G0045410070010","崔桥收费站","HE_NAN",,
"G7211450010010","那洪收费站","GUANG_XI",,
"S0015440010070","雅瑶收费站","GUANG_DONG",,
"S0081430010060","桂湘富川收费站","HU_NAN","111.354272","25.109019"
"S0090430010050","寨市收费站","HU_NAN","110.059200","26.506487"
"S0022410040030","南林豫晋界收费站","HE_NAN",,
"G0007150030110","三个井收费站","NEI_MENG_GU",,
"G0007150010090","旗下营收费站","NEI_MENG_GU","112.192548","41.008620"
"G04W2440020020","清远收费站","GUANG_DONG",,
