statName交易,statName地图,经度差,纬度差,provName
巴南观音庵,,,,sichuan
巴南铁佛堂,,,,sichuan
银川北匝道,,,,ningxia
石银,,,,ningxia
铜万路黄岗,,,,jiangxi
阿古拉,阿古拉收费站,,,neimenggu
奈曼交接,,,,neimenggu
萍洪路上栗,,,,jiangxi
兴赣路江口,,,,jiangxi
三道井交接,,,,neimenggu
新惠,新惠收费站,,,neimenggu
大营子,,,,neimenggu
锦山东,锦山东收费站,,,neimenggu
土洋,土洋收费站,0.00489,0.002682,guangdong
荷坳匝道,,,,guangdong
温阳,,,,beijing
磁各庄,磁各庄收费站,0.000221,0.001232,beijing
顺义南环,顺义南环收费站,0.005896,0.001,beijing
赵庄户,赵庄户收费站,0.006494,0.001347,beijing
西拨子,西拨子收费站,0.006332,0.001063,beijing
上清,上清收费站,0.000452,0.00373,beijing
山丹东,山丹东收费站,0.001714,0.000596,gansu
建阳南,建阳南收费站,,,fujian
安溪东溪,,,,fujian
南靖丰田,南靖丰田收费站,,,fujian
漳州西,漳州西收费站,,,fujian
闽清东桥,,,,fujian
闽侯甘蔗,,,,fujian
上杭白砂,上杭白砂收费站,,,fujian
古田,古田收费站,,,fujian
尤溪,尤溪收费站,,,fujian
延平洋后,,,,fujian
下白石,下白石收费站,,,fujian
宁德东,,,,fujian
溪南,溪南收费站,,,fujian
涵江,涵江收费站,,,fujian
安溪龙门,安溪龙门收费站,,,fujian
长泰枋洋,长泰枋洋收费站,,,fujian
水吉,水吉收费站,,,fujian
涵江萩芦,,,,fujian
三明西,,,,fujian
柘荣,柘荣收费站,,,fujian
登沙河,登沙河收费站,0.00512,0.001255,liaoning
双河,,,,shaanxi
江高,,,,guangdong
东棘坨,东棘坨收费站,,,tianjin
乐安铺,乐安铺收费站,,,hunan
鹿芝岭,鹿芝岭收费站,,,hunan
幸福渠,幸福渠收费站,,,hunan
邵东南,邵东南收费站,,,hunan
道州,道州收费站,,,hunan
娄底,娄底收费站,,,hunan
津冀,,,,tianjin
G206罗塘,,,,anhui
赣定路龙南,,,,jiangxi
昌樟路昌西南,,,,jiangxi
景鹰路景德镇南,,,,jiangxi
鹰瑞路南段石城北,,,,jiangxi
渭源,,,,gansu
灵宝,灵宝收费站,,,henan
大广豫鄂界,,,,henan
休宁,休宁收费站,0.08827,0.23916,anhui
九华山北,,,,anhui
皖赣香隅,,,,anhui
萧县南,萧县南收费站,0.00535,0.001468,anhui
全椒,全椒收费站,0.000073,0.00011,anhui
吐鲁番,吐鲁番收费站,0.002301,0.001914,xinjiang
平塘东,,,,guizhou
金村,金村收费站,0.006148,0.000563,shanxi
端氏,,,,shanxi
平遥南,平遥南收费站,0.005962,0.002472,shanxi
和顺东,,,,shanxi
园洲,,,,guangdong
太和,,,,guangdong
乳源,乳源收费站,0.126235,0.310937,guangdong
岗美,岗美收费站,0.005167,0.002853,guangdong
丙村,丙村收费站,0.004709,0.002967,guangdong
水墩,,,,guangdong
龙岗主,,,,guangdong
义容,,,,guangdong
咸阳南,,,,shaanxi
四十里铺,四十里铺收费站,0.00413,0.000967,gansu
正阳岳城,,,,henan
延津,延津收费站,,,henan
舞钢南,舞钢南收费站,,,henan
芒砀山,芒砀山收费站,,,henan
上街,上街收费站,,,henan
孟津,孟津收费站,,,henan
含山南,含山南收费站,0.00584,0.001888,anhui
汉中,,,,shaanxi
三桥,,,,shaanxi
安塞北,,,,shaanxi
天赐湾,,,,shaanxi
土桥,,,,shaanxi
泾河,,,,shaanxi
西安北,,,,shaanxi
成乐彭山,,,,sichuan
成乐乐山,,,,sichuan
泸黄西木,,,,sichuan
雅泸龙苍沟,,,,sichuan
阿三龙,阿三龙收费站,0.001905,0.002918,yunnan
蛮耗,蛮耗收费站,0.003148,0.003043,yunnan
雨洒,雨洒收费站,0.422355,0.005208,yunnan
昌九路德安,,,,jiangxi
赤峰阿其乌拉,,,,neimenggu
机场,,,,hebei
清远西,清远西收费站,0.005394,0.002432,guangdong
梅南,梅南收费站,0.006521,0.005762,guangdong
芙蓉嶂,,,,guangdong
东富,,,,heilongjiang
肇东,肇东收费站,0.006176,0.001599,heilongjiang
磐安,磐安收费站,0.006334,0.005558,zhejiang
S32嘉闵高架,,,,shanghai
涧河,涧河收费站,,,tianjin
腰街,,,,yunnan
芒市,芒市收费站,0.00092,0.006101,yunnan
勐腊北1,,,,yunnan
珠街,珠街收费站,0.004584,0.003922,yunnan
宁洱,宁洱收费站,0.003099,0.005441,yunnan
北城2,,,,yunnan
施家屯,施家屯收费站,0.000697,0.003197,yunnan
灌云东,灌云东收费站,0.006426,0.006139,jiangsu
丁堰,丁堰收费站,0.006475,0.005709,jiangsu
嘉泽,嘉泽收费站,0.006399,0.005886,jiangsu
A,,,,guangxi
狸桥,,,,anhui
G15嘉西,,,,shanghai
S32朱枫公路,,,,shanghai
G50沪苏,,,,shanghai
G2安亭,,,,shanghai
滋泥泉子,滋泥泉子收费站,0.825368,0.587933,xinjiang
新湖,新湖收费站,0.002847,0.001176,xinjiang
黄草,黄草收费站,0.38061,0.13323,chongqing
高平,高平收费站,0.005846,0.000369,shanxi
沁水西,沁水西收费站,0.006022,0.001197,shanxi
胡底,,,,shanxi
昔阳,昔阳收费站,0.0064,0.000567,shanxi
