"ID","STATION_NAME","PROVINCE","slng","slat"
"S0002510010030","巴南观音庵","sichuan",,
"S0002510010070","巴南铁佛堂","sichuan",,
"G0601640010020","银川北匝道","ningxia",,
"G1816640010010","石银","ningxia",,
"S0081360550020","铜万路黄岗","jiangxi",,
"G2511150020030","阿古拉","neimenggu",,
"G0045150020080","奈曼交接","neimenggu",,
"S0089360410030","萍洪路上栗","jiangxi",,
"G6011360700040","兴赣路江口","jiangxi",,
"G0045150030060","三道井交接","neimenggu",,
"G0045150030030","新惠","neimenggu",,
"G0045150040020","大营子","neimenggu",,
"G0045150040030","锦山东","neimenggu",,
"S0030440020030","土洋","guangdong","114.392650","22.615782"
"G0015440060080","荷坳匝道","guangdong","114.212907","22.679849"
"G4501110060020","温阳","beijing","116.145644","40.095453"
"G4501110030030","磁各庄","beijing","116.405409","39.719838"
"G4501110010040","顺义南环","beijing","116.631174","40.079410"
"S0032110010100","赵庄户","beijing","117.070136","40.083833"
"G0006110010190","西拨子","beijing","115.974258","40.361057"
"G0006110010020","上清","beijing","116.353492","40.021360"
"G0030620090050","山丹东","gansu","101.167816","38.755394"
"G0003350010090","建阳南","fujian",,
"G2517350030020","安溪东溪","fujian",,
"G0076350030030","南靖丰田","fujian",,
"G0076350030040","漳州西","fujian",,
"G0003350040010","闽清东桥","fujian",,
"G0003350040050","闽侯甘蔗","fujian",,
"S2513350010010","上杭白砂","fujian",,
"G0076350050080","古田","fujian",,
"G0025350020060","尤溪","fujian",,
"S0010350030040","延平洋后","fujian",,
"G0015350010130","下白石","fujian",,
"G15W3350020010","宁德东","fujian",,
"S0012350040010","溪南","fujian",,
"G0015350050050","涵江","fujian",,
"G15W3350070050","安溪龙门","fujian",,
"G15W3350080010","长泰枋洋","fujian",,
"G1514350010060","水吉","fujian",,
"G1517350010030","涵江萩芦","fujian",,
"G1517350020030","三明西","fujian",,
"G15W3350010010","柘荣","fujian",,
"G0011210030090","登沙河","liaoning","122.035920","39.239385"
"G7011610010040","双河","shaanxi","109.751721","32.718096"
"G04W2440020090","江高","guangdong","113.207803","23.276443"
"S0021120020050","东棘坨","tianjin",,
"G0065430020080","乐安铺","hunan",,
"G0401430020040","鹿芝岭","hunan",,
"G5513430020740","幸福渠","hunan",,
"S0080430020050","邵东南","hunan",,
"S0081430010010","道州","hunan",,
"S0050430010080","娄底","hunan",,
"G0018120010030","津冀","tianjin",,
"G0206340001010","G206罗塘","anhui",,
"G0045360680060","赣定路龙南","jiangxi",,
"G0060360060010","昌樟路昌西南","jiangxi",,
"G0035360070120","景鹰路景德镇南","jiangxi",,
"G0035360120010","鹰瑞路南段石城北","jiangxi",,
"G0075620020030","渭源","gansu","104.275060","35.133342"
"G0030410050050","灵宝","henan",,
"G0045410120030","大广豫鄂界","henan",,
"S0042340010010","休宁","anhui","118.000000","30.000000"
"G0050340060010","九华山北","anhui","117.394600","30.404400"
"S0038340010010","皖赣香隅","anhui","116.481400","30.100000"
"G0030340010030","萧县南","anhui","116.859680","34.090458"
"G0040340010020","全椒","anhui","118.288727","32.117140"
"G0030650020010","吐鲁番","xinjiang","89.113259","42.998046"
"S0062520030010","平塘东","guizhou",,
"G0055140460050","金村","shanxi","112.928602","35.538703"
"S0080140630040","端氏","shanxi","112.541312","35.695605"
"G2516140500040","平遥南","shanxi","112.184722","37.107222"
"G2516140480020","和顺东","shanxi","113.665248","37.124579"
"G0035440020110","园洲","guangdong","113.971181","23.185629"
"S0004440010010","太和","guangdong","113.367877","23.272967"
"G0004440010060","乳源","guangdong","113.174215","24.470153"
"S0051440020030","岗美","guangdong","111.780753","22.047213"
"S0012440020040","丙村","guangdong","116.275571","24.347927"
"S0014440010050","水墩","guangdong","115.404839","23.587517"
"G0015440040110","龙岗主","guangdong","114.351111","22.541428"
"S0014440010100","义容","guangdong","114.852437","23.501877"
"G0030610030020","咸阳南","shaanxi","108.401783","34.151046"
"G0022620030060","四十里铺","gansu","106.885160","35.466337"
"G0045410080030","正阳岳城","henan",,
"G3511410020020","延津","henan",,
"S0049410070040","舞钢南","henan",,
"G0030410010020","芒砀山","henan",,
"G0030410030100","上街","henan",,
"G0030410040020","孟津","henan",,
"S0022340020010","含山南","anhui","118.082500","31.657778"
"G0005610050060","汉中","shaanxi","106.594872","33.012808"
"G0030610030030","三桥","shaanxi","108.475705","34.181480"
"G0065610050010","安塞北","shaanxi","109.324260","36.893541"
"G0065610030050","天赐湾","shaanxi","108.561201","37.192601"
"G0069610010070","土桥","shaanxi","108.430781","34.981056"
"G0065610080070","泾河","shaanxi","108.985855","34.482213"
"G0065610080090","西安北","shaanxi","108.973832","34.495441"
"G0512510010020","成乐彭山","sichuan",,
"G0512510010080","成乐乐山","sichuan",,
"G0005510070060","泸黄西木","sichuan",,
"G0005510060030","雅泸龙苍沟","sichuan",,
"G0080530020010","阿三龙","yunnan","103.646235","23.804798"
"G8011530020030","蛮耗","yunnan","103.401012","22.993183"
"G8011530010020","雨洒","yunnan","102.844745","23.775618"
"G0070360010060","昌九路德安","jiangxi",,
"G0016150020010","赤峰阿其乌拉","neimenggu",,
"S9902130010020","机场","hebei","114.395576","38.164626"
"G04W2440020010","清远西","guangdong","113.021396","23.653532"
"G0078440020010","梅南","guangdong","116.085361","24.144002"
"G0094440010020","芙蓉嶂","guangdong","113.238611","23.494737"
"G1111230020020","东富","heilongjiang","127.487829","46.846606"
"G0010230030040","肇东","heilongjiang","125.929964","46.043011"
"S0026330010110","磐安","zhejiang","120.431464","28.980018"
"S0032310010060","S32嘉闵高架","shanghai","121.232800","31.021400"
"S0011120010010","涧河","tianjin",,
"S0411530010010","腰街","yunnan","101.646925","25.091977"
"G0056530120020","芒市","yunnan","98.575120","24.480951"
"G8511530060060","勐腊北1","yunnan",,
"G0080530040040","珠街","yunnan","104.931696","23.751742"
"G8511530040020","宁洱","yunnan","101.068751","23.036531"
"S0033530010020","北城2","yunnan","102.545411","24.466981"
"G0326530010010","施家屯","yunnan","103.865313","25.727117"
"G0015320020020","灌云东","jiangsu","119.506796","34.326099"
"G0015320030110","丁堰","jiangsu","120.689065","32.355039"
"S0038320030020","嘉泽","jiangsu","119.734079","31.671366"
"G9999459998010","A","guangxi",,
"S0003340010020","狸桥","anhui","118.000000","30.000000"
"G0015310010020","G15嘉西","shanghai","121.201920","31.377100"
"S0032310010080","S32朱枫公路","shanghai","121.148000","30.572100"
"G0050310010080","G50沪苏","shanghai","120.893083","31.047447"
"G0002310010030","G2安亭","shanghai","121.152873","31.292168"
"S0011650010050","滋泥泉子","xinjiang","87.891102","43.560657"
"S0201650010030","新湖","xinjiang","86.152883","44.521584"
"G0065500040010","黄草","chongqing","107.561600","29.195300"
"G0055140460030","高平","shanxi","112.947764","35.769441"
"S0086140680050","沁水西","shanxi","112.057438","35.662043"
"S0080140630030","胡底","shanxi","112.671832","35.711749"
"S0045140230020","昔阳","shanxi","113.770520","37.629543"
"S0045140230030","和顺北","shanxi","113.654413","37.370862"
"S0045140230040","左权北","shanxi","113.407986","37.134240"
"G0060360280040","温厚路丰厚","jiangxi",,
"G0056360290010","九瑞路狮子","jiangxi",,
"G0072360300030","石吉路宁都","jiangxi",,
"G0094440060050","华为南","guangdong","114.049882","22.660339"
"S0023440010080","水口","guangdong","114.527181","23.118431"
"G0050340080020","安庆","anhui","117.068880","30.606957"
"G0035340020030","南照","anhui","115.994783","32.627692"
"S0017340020030","长丰南","anhui","117.141554","32.382764"
"G0035340060030","香隅","anhui","116.519000","30.442000"
"G0003340030010","方兴大道","anhui","118.000000","30.000000"
"G0040340020020","龙塘","anhui","118.000000","30.000000"
"G2211610020010","招安","shaanxi","109.924001","36.495101"
"G7011610020120","五郎坪","shaanxi","106.367648","33.308828"
"S0032610010010","榆林东","shaanxi","109.804726","38.303048"
"S0032610010020","麻黄梁","shaanxi","109.561121","38.214211"
"S0038320010020","常熟北","jiangsu","120.771025","31.733586"
"S0038320010050","江阴新桥","jiangsu","120.502070","31.817216"
"S0068320010010","高淳新区","jiangsu","118.928610","31.384720"
"S0069320010040","沛县","jiangsu","116.889821","34.645517"
"G8511530010070","富有","yunnan","102.752963","24.734369"
"G6517450010070","百丈","guangxi","109.545359","23.563972"
"G050S500010020","高镇","chongqing","107.837701","29.978869"
"S0101500040030","永城","chongqing","106.836497","29.012423"
"S0022360450010","都九路温泉","jiangxi",,
"G6011360500040","昌宁路南段宁都西","jiangxi",,
"S0041360520030","宁定路仙下","jiangxi",,
"G6011360700020","兴赣路兴国南","jiangxi",,
"S0032360560020","修平路修水西","jiangxi",,
"G0006630020040","高寨匝道","qinghai",,
"G0094440040040","横栏","guangdong","113.223214","22.579024"
"S0081440010050","广花","guangdong","113.253136","23.164611"
