ID,STATION_NAME,PROVINCE,slng,slat,statName交易,statName地图,经度差,纬度差,provName,id,statName,lng_x,lat_x,prov,Name,Province,lng_y,lat_y,STATION_ID,STATION_Name,STATION_PRO,STATION_TYPE,STATION_LNG,STATION_LAT,DATA_FROM_SOURCE
S0002510010030,巴南观音庵,sichuan,,,巴南观音庵,,,,sichuan,,,,,,观音庵收费站,SI_CHUAN,106.471027,31.611948,S0002510010030,巴南观音庵,sichuan,RAMP_PLAZA,106.471027,31.611948,0
S0002510010070,巴南铁佛堂,sichuan,,,巴南铁佛堂,,,,sichuan,,,,,,铁佛塘收费站,SI_CHUAN,106.159831,31.237513,S0002510010070,巴南铁佛堂,sichuan,RAMP_PLAZA,106.159831,31.237513,0
G0601640010020,银川北匝道,ningxia,,,银川北匝道,,,,ningxia,,,,,,银川北收费站,NING_XIA,106.332986,38.568261,G0601640010020,银川北匝道,ningxia,MAIN_LINE_PLAZA,106.332986,38.568261,0
G1816640010010,石银,ningxia,,,石银,,,,ningxia,,,,,,石银高速收费站,NING_XIA,106.117949,38.60989,G1816640010010,石银,ningxia,MAIN_LINE_PLAZA,106.117949,38.60989,0
S0081360550020,铜万路黄岗,jiangxi,,,铜万路黄岗,,,,jiangxi,,,,,,黄岗收费站,JIANG_XI,114.565472,28.455274,S0081360550020,铜万路黄岗,jiangxi,RAMP_PLAZA,114.565472,28.455274,0
G2511150020030,阿古拉,neimenggu,,,阿古拉,阿古拉收费站,,,neimenggu,2110056770.0,阿古拉收费站,122.40247,43.29704,neimenggu,阿古拉收费站,NEI_MENG_GU,122.402455,43.297038,G2511150020030,阿古拉,neimenggu,RAMP_PLAZA,122.402455,43.297038,0
G0045150020080,奈曼交接,neimenggu,,,奈曼交接,,,,neimenggu,,,,,,奈曼收费站,NEI_MENG_GU,120.747089,42.687207,G0045150020080,奈曼交接,neimenggu,,120.747089,42.687207,0
S0089360410030,萍洪路上栗,jiangxi,,,萍洪路上栗,,,,jiangxi,,,,,,上栗收费站,JIANG_XI,113.784752,27.851932,S0089360410030,萍洪路上栗,jiangxi,RAMP_PLAZA,113.784752,27.851932,0
G6011360700040,兴赣路江口,jiangxi,,,兴赣路江口,,,,jiangxi,,,,,,江口收费站,JIANG_XI,115.134039,25.973539,G6011360700040,兴赣路江口,jiangxi,RAMP_PLAZA,115.134039,25.973539,0
G0045150030060,三道井交接,neimenggu,,,三道井交接,,,,neimenggu,,,,,,三道井收费站,NEI_MENG_GU,119.042422,42.255211,G0045150030060,三道井交接,neimenggu,,119.042422,42.255211,0
G0045150030030,新惠,neimenggu,,,新惠,新惠收费站,,,neimenggu,2110016461.0,新惠收费站,119.93283999999998,42.38726,neimenggu,新惠收费站,NEI_MENG_GU,119.970419,42.490475,G0045150030030,新惠,neimenggu,RAMP_PLAZA,119.970419,42.490475,0
G0045150040020,大营子,neimenggu,,,大营子,,,,neimenggu,,,,,,大营子收费站,NEI_MENG_GU,118.923618,42.109939,G0045150040020,大营子,neimenggu,RAMP_PLAZA,118.923618,42.109939,0
G0045150040030,锦山东,neimenggu,,,锦山东,锦山东收费站,,,neimenggu,2110053234.0,锦山东收费站,118.74031,41.95966,neimenggu,锦山东收费站,NEI_MENG_GU,118.740339,41.95973400000001,G0045150040030,锦山东,neimenggu,RAMP_PLAZA,118.740339,41.95973400000001,0
S0030440020030,土洋,guangdong,114.39265,22.615782,土洋,土洋收费站,0.00489,0.002682,guangdong,2110038085.0,土洋收费站,114.39754,22.6131,guangdong,土洋收费站,GUANG_DONG,114.397671,22.611746,S0030440020030,土洋,guangdong,RAMP_PLAZA,114.397671,22.611746,0
G0015440060080,荷坳匝道,guangdong,114.212907,22.679849,荷坳匝道,,,,guangdong,,,,,,荷坳收费站,GUANG_DONG,114.21778799999998,22.677056,G0015440060080,荷坳匝道,guangdong,RAMP_PLAZA,114.21778799999998,22.677056,0
G4501110060020,温阳,beijing,116.145644,40.095453000000006,温阳,,,,beijing,,,,,,温阳路收费站,BEI_JING,116.156973,40.098089,G4501110060020,温阳,beijing,RAMP_PLAZA,116.156973,40.098089,0
G4501110030030,磁各庄,beijing,116.405409,39.719838,磁各庄,磁各庄收费站,0.000221,0.001232,beijing,2110005453.0,磁各庄收费站,116.40563,39.72107000000001,beijing,磁各庄收费站,BEI_JING,116.41262,39.721336,G4501110030030,磁各庄,beijing,RAMP_PLAZA,116.41262,39.721336,0
G4501110010040,顺义南环,beijing,116.631174,40.07941,顺义南环,顺义南环收费站,0.005896,0.001,beijing,2110005589.0,顺义南环收费站,116.63707,40.08041,beijing,顺义南环收费站,BEI_JING,116.637029,40.080361,G4501110010040,顺义南环,beijing,RAMP_PLAZA,116.637029,40.080361,0
S0032110010100,赵庄户,beijing,117.070136,40.083833,赵庄户,赵庄户收费站,0.006494,0.001347,beijing,2110005682.0,赵庄户收费站,117.07663,40.08518,beijing,赵庄户收费站,BEI_JING,117.076614,40.08495900000001,S0032110010100,赵庄户,beijing,RAMP_PLAZA,117.076614,40.08495900000001,0
G0006110010190,西拨子,beijing,115.974258,40.361057,西拨子,西拨子收费站,0.006332,0.001063,beijing,2110005559.0,西拨子收费站,115.98059,40.36212,beijing,西拨子收费站,BEI_JING,115.980353,40.362219,G0006110010190,西拨子,beijing,RAMP_PLAZA,115.980353,40.362219,0
G0006110010020,上清,beijing,116.353492,40.02136,上清,上清收费站,0.000452,0.00373,beijing,2110005787.0,上清收费站,116.35304,40.02509000000001,beijing,上清收费站,BEI_JING,116.353028,40.025046,G0006110010020,上清,beijing,RAMP_PLAZA,116.353028,40.025046,0
G0030620090050,山丹东,gansu,101.167816,38.755394,山丹东,山丹东收费站,0.001714,0.000596,gansu,2110025850.0,山丹东收费站,101.16953,38.75599,gansu,山丹东收费站,GAN_SU,101.169527,38.75591,G0030620090050,山丹东,gansu,RAMP_PLAZA,101.169527,38.75591,0
G0003350010090,建阳南,fujian,,,建阳南,建阳南收费站,,,fujian,2110031811.0,建阳南收费站,118.12542,27.23338,fujian,建阳南收费站,FU_JIAN,118.125383,27.23338,G0003350010090,建阳南,fujian,MAIN_LINE_PLAZA,118.125383,27.23338,0
G2517350030020,安溪东溪,fujian,,,安溪东溪,,,,fujian,,,,,,安溪东溪收费站,FU_JIAN,118.134119,25.252958,G2517350030020,安溪东溪,fujian,MAIN_LINE_PLAZA,118.134119,25.252958,0
G0076350030030,南靖丰田,fujian,,,南靖丰田,南靖丰田收费站,,,fujian,2110031261.0,南靖丰田收费站,117.45506,24.6494,fujian,南靖丰田收费站,FU_JIAN,117.455024,24.649468,G0076350030030,南靖丰田,fujian,MAIN_LINE_PLAZA,117.455024,24.649468,0
G0076350030040,漳州西,fujian,,,漳州西,漳州西收费站,,,fujian,2110031296.0,漳州西收费站,117.62261,24.58596,fujian,漳州西收费站,FU_JIAN,117.622623,24.585891,G0076350030040,漳州西,fujian,MAIN_LINE_PLAZA,117.622623,24.585891,0
G0003350040010,闽清东桥,fujian,,,闽清东桥,,,,fujian,,,,,,闽清东桥收费站,FU_JIAN,118.916348,26.381926,G0003350040010,闽清东桥,fujian,MAIN_LINE_PLAZA,118.916348,26.381926,0
G0003350040050,闽侯甘蔗,fujian,,,闽侯甘蔗,,,,fujian,,,,,,闽侯甘蔗收费站,FU_JIAN,119.184162,26.161151,G0003350040050,闽侯甘蔗,fujian,MAIN_LINE_PLAZA,119.184162,26.161151,0
S2513350010010,上杭白砂,fujian,,,上杭白砂,上杭白砂收费站,,,fujian,2110045163.0,上杭白砂收费站,116.58415,25.12564,fujian,上杭白砂收费站,FU_JIAN,116.584214,25.125607,S2513350010010,上杭白砂,fujian,MAIN_LINE_PLAZA,116.584214,25.125607,0
G0076350050080,古田,fujian,,,古田,古田收费站,,,fujian,2110031960.0,古田收费站,116.77436000000002,25.1789,fujian,古田收费站,FU_JIAN,116.7744,25.17887,G0076350050080,古田,fujian,MAIN_LINE_PLAZA,116.7744,25.17887,0
