STATION_ID,STATION_Name,STATION_PRO,STATION_TYPE,STATION_LNG,STATION_LAT,DATA_FROM_SOURCE
S0002510010030,观音庵收费站,sichuan,RAMP_PLAZA,106.471027,31.611948,0
S0002510010070,铁佛塘收费站,sichuan,RAMP_PLAZA,106.159831,31.237513,0
G0601640010020,银川北收费站,ningxia,MAIN_LINE_PLAZA,106.332986,38.568261,0
G1816640010010,石银高速收费站,ningxia,MAIN_LINE_PLAZA,106.117949,38.60989,0
S0081360550020,黄岗收费站,jiangxi,RAMP_PLAZA,114.565472,28.455274,0
G2511150020030,阿古拉收费站,neimenggu,RAMP_PLAZA,122.402455,43.297038,0
G0045150020080,奈曼收费站,neimenggu,,120.747089,42.687207,0
S0089360410030,上栗收费站,jiangxi,RAMP_PLAZA,113.784752,27.851932,0
G6011360700040,江口收费站,jiangxi,RAMP_PLAZA,115.134039,25.973539,0
G0045150030060,三道井收费站,neimenggu,,119.042422,42.255211,0
G0045150030030,新惠收费站,neimenggu,RAMP_PLAZA,119.970419,42.490475,0
G0045150040020,大营子收费站,neimenggu,RAMP_PLAZA,118.923618,42.109939,0
G0045150040030,锦山东收费站,neimenggu,RAMP_PLAZA,118.740339,41.959734,0
S0030440020030,土洋收费站,guangdong,RAMP_PLAZA,114.397671,22.611746,0
G0015440060080,荷坳收费站,guangdong,RAMP_PLAZA,114.217788,22.677056,0
G4501110060020,温阳路收费站,beijing,RAMP_PLAZA,116.156973,40.098089,0
G4501110030030,磁各庄收费站,beijing,RAMP_PLAZA,116.41262,39.721336,0
G4501110010040,顺义南环收费站,beijing,RAMP_PLAZA,116.637029,40.080361,0
S0032110010100,赵庄户收费站,beijing,RAMP_PLAZA,117.076614,40.084959,0
G0006110010190,西拨子收费站,beijing,RAMP_PLAZA,115.980353,40.362219,0
G0006110010020,上清收费站,beijing,RAMP_PLAZA,116.353028,40.025046,0
G0030620090050,山丹东收费站,gansu,RAMP_PLAZA,101.169527,38.75591,0
G0003350010090,建阳南收费站,fujian,MAIN_LINE_PLAZA,118.125383,27.23338,0
G2517350030020,安溪东溪收费站,fujian,MAIN_LINE_PLAZA,118.134119,25.252958,0
G0076350030030,南靖丰田收费站,fujian,MAIN_LINE_PLAZA,117.455024,24.649468,0
G0076350030040,漳州西收费站,fujian,MAIN_LINE_PLAZA,117.622623,24.585891,0
G0003350040010,闽清东桥收费站,fujian,MAIN_LINE_PLAZA,118.916348,26.381926,0
G0003350040050,闽侯甘蔗收费站,fujian,MAIN_LINE_PLAZA,119.184162,26.161151,0
S2513350010010,上杭白砂收费站,fujian,MAIN_LINE_PLAZA,116.584214,25.125607,0
G0076350050080,古田收费站,fujian,MAIN_LINE_PLAZA,116.7744,25.17887,0
G0025350020060,尤溪收费站,fujian,MAIN_LINE_PLAZA,118.280843,26.298273,0
S0010350030040,延平洋后收费站,fujian,MAIN_LINE_PLAZA,118.522861,26.628247,0
G0015350010130,下白石收费站,fujian,MAIN_LINE_PLAZA,119.680115,26.812856,0
G15W3350020010,宁德东收费站,fujian,MAIN_LINE_PLAZA,119.59916,26.670405,0
S0012350040010,溪南收费站,fujian,MAIN_LINE_PLAZA,117.558612,25.355976,0
G0015350050050,涵江收费站,fujian,MAIN_LINE_PLAZA,119.162289,25.455448,0
G15W3350070050,安溪龙门收费站,fujian,MAIN_LINE_PLAZA,118.081277,24.95599,0
G15W3350080010,长泰枋洋收费站,fujian,MAIN_LINE_PLAZA,117.90097,24.788883,0
G1514350010060,水吉收费站,fujian,MAIN_LINE_PLAZA,118.347693,27.435345,0
G1517350010030,涵江萩芦收费站,fujian,MAIN_LINE_PLAZA,119.116575,25.535949,0
G1517350020030,三明西收费站,fujian,MAIN_LINE_PLAZA,117.565239,26.239802,0
G15W3350010010,柘荣收费站,fujian,MAIN_LINE_PLAZA,119.893882,27.211697,0
G0011210030090,登沙河收费站,liaoning,RAMP_PLAZA,122.041092,39.240448,0
G7011610010040,双河收费站,shaanxi,RAMP_PLAZA,109.756651,32.716002,0
G04W2440020090,江高收费站,guangdong,MAIN_LINE_PLAZA,113.209257,23.288372,0
S0021120020050,东棘坨收费站,tianjin,RAMP_PLAZA,117.640084,39.42531,0
G0065430020080,乐安铺收费站,hunan,MAIN_LINE_PLAZA,109.898913,26.466558,0
G0401430020040,鹿芝岭收费站,hunan,MAIN_LINE_PLAZA,113.126585,28.103718,0
G5513430020740,幸福渠收费站,hunan,MAIN_LINE_PLAZA,112.358477,28.612686,0
S0080430020050,邵东南收费站,hunan,MAIN_LINE_PLAZA,111.720925,27.182428,0
S0081430010010,道州收费站,hunan,MAIN_LINE_PLAZA,111.593199,25.468975,0
S0050430010080,娄底收费站,hunan,MAIN_LINE_PLAZA,111.999791,27.843088,0
G0018120010030,津冀收费站,tianjin,PROVINCE_STATION_COMMON,116.855648,39.153604,0
G0206340001010,罗塘收费站,anhui,,117.113506,32.37927,0
G0045360680060,龙南收费站,jiangxi,RAMP_PLAZA,114.80754,24.861996,0
G0060360060010,昌西南收费站,jiangxi,MAIN_LINE_PLAZA,115.763865,28.562103,0
G0035360070120,景德镇南收费站,jiangxi,RAMP_PLAZA,117.079415,29.243814,0
G0035360120010,石城北收费站,jiangxi,RAMP_PLAZA,116.305367,26.444488,0
G0075620020030,渭源收费站,gansu,RAMP_PLAZA,104.277065,35.13198,0
G0030410050050,灵宝收费站,henan,RAMP_PLAZA,110.92582,34.64949,0
G0045410120030,大广豫鄂界收费站,henan,PROVINCE_STATION_INDEPENDENT,114.889911,31.527318,0
S0042340010010,休宁收费站,anhui,RAMP_PLAZA,118.08809,29.760735,0
G0050340060010,九华山收费站,anhui,MAIN_LINE_PLAZA,117.662784,30.679128,0
S0038340010010,皖赣香隅主线收费站,anhui,PROVINCE_STATION_INDEPENDENT,116.810377,30.014462,0
G0030340010030,萧县南收费站,anhui,RAMP_PLAZA,116.864893,34.088822,0
G0040340010020,全椒收费站,anhui,RAMP_PLAZA,118.288785,32.117163,0
G0030650020010,吐鲁番收费站,xinjiang,MAIN_LINE_PLAZA,89.115798,42.999899,0
S0062520030010,平塘东收费站,guizhou,RAMP_PLAZA,107.333939,25.844892,0
G0055140460050,金村收费站,shanxi,RAMP_PLAZA,112.934734,35.538464,0
S0080140630040,端氏收费站,shanxi,RAMP_PLAZA,112.540985,35.695865,0
G2516140500040,平遥南收费站,shanxi,RAMP_PLAZA,112.178759,37.104757,0
G2516140480020,和顺东收费站,shanxi,RAMP_PLAZA,113.671823,37.124892,0
G0035440020110,园洲收费站,guangdong,RAMP_PLAZA,113.976039,23.183419,0
S0004440010010,太和收费站,guangdong,RAMP_PLAZA,113.370826,23.274001,0
G0004440010060,乳源收费站,guangdong,RAMP_PLAZA,113.300726,24.781093,0
S0051440020030,岗美收费站,guangdong,RAMP_PLAZA,111.786035,22.044278,0
S0012440020040,丙村收费站,guangdong,RAMP_PLAZA,116.280349,24.344899,0
S0014440010050,水墩收费站,guangdong,RAMP_PLAZA,115.40942,23.585,0
G0015440040110,龙岗收费站,guangdong,MAIN_LINE_PLAZA,114.210397,22.678507,0
S0014440010100,义容收费站,guangdong,RAMP_PLAZA,114.857089,23.49933,0
G0030610030020,咸阳南收费站,shaanxi,RAMP_PLAZA,108.67636,34.251273,0
G0022620030060,四十里铺收费站,gansu,RAMP_PLAZA,106.889457,35.46524,0
G0045410080030,正阳岳城收费站,henan,RAMP_PLAZA,114.859667,32.636028,0
G3511410020020,延津收费站,henan,RAMP_PLAZA,114.233783,35.266786,0
S0049410070040,舞钢南收费站,henan,RAMP_PLAZA,113.44576,33.244605,0
G0030410010020,芒砀山收费站,henan,RAMP_PLAZA,116.477504,34.155958,0
G0030410030100,上街收费站,henan,RAMP_PLAZA,113.253679,34.850391,0
G0030410040020,孟津收费站,henan,RAMP_PLAZA,112.640598,34.780031,0
S0022340020010,含山南收费站,anhui,RAMP_PLAZA,118.088227,31.655896,0
G0005610050060,汉中收费站,shaanxi,RAMP_PLAZA,107.001269,33.022478,0
G0030610030030,三桥收费站,shaanxi,RAMP_PLAZA,108.803875,34.29933,0
G0065610050010,安塞北收费站,shaanxi,RAMP_PLAZA,109.318107,36.887117,0
G0065610030050,天赐湾收费站,shaanxi,RAMP_PLAZA,108.936866,37.32399,0
G0069610010070,土桥收费站,shaanxi,RAMP_PLAZA,108.436226,34.980492,0
G0065610080070,泾河收费站,shaanxi,RAMP_PLAZA,108.986126,34.482127,0
