上报收费站ID,上报收费站名称,上报收费归属省份,上报收费站经度,上报收费站纬度,电子地图收费站ID,电子地图ID,电子地图收费站名称,电子地图收费站归属省份,电子地图收费经度,电子地图收费站纬度,互联网地图1收费站ID,互联网地图1收费站名称,互联网地图1收费站归属省份,互联网地图1收费站经度,互联网地图1收费站纬度,确认收费站ID,确认收费站名称,确认收费站归属省份,确认收费站类型,确认收费站经度,确认收费站纬度,确认数据经纬度来源（0：互联网1；    1：上报收费站；2：电子地图；3:缺失）
S0002510010030,巴南观音庵,sichuan,,,S0002510010030,,,,,,S0002510010030,观音庵收费站,SI_CHUAN,106.471027,31.611948,S0002510010030,观音庵收费站,sichuan,RAMP_PLAZA,106.471027,31.611948,0
S0002510010070,巴南铁佛堂,sichuan,,,S0002510010070,,,,,,S0002510010070,铁佛塘收费站,SI_CHUAN,106.159831,31.237513,S0002510010070,铁佛塘收费站,sichuan,RAMP_PLAZA,106.159831,31.237513,0
G0601640010020,银川北匝道,ningxia,,,G0601640010020,,,,,,G0601640010020,银川北收费站,NING_XIA,106.332986,38.568261,G0601640010020,银川北收费站,ningxia,MAIN_LINE_PLAZA,106.332986,38.568261,0
G1816640010010,石银,ningxia,,,G1816640010010,,,,,,G1816640010010,石银高速收费站,NING_XIA,106.117949,38.60989,G1816640010010,石银高速收费站,ningxia,MAIN_LINE_PLAZA,106.117949,38.60989,0
S0081360550020,铜万路黄岗,jiangxi,,,S0081360550020,,,,,,S0081360550020,黄岗收费站,JIANG_XI,114.565472,28.455274,S0081360550020,黄岗收费站,jiangxi,RAMP_PLAZA,114.565472,28.455274,0
G2511150020030,阿古拉,neimenggu,,,G2511150020030,2110056770,阿古拉收费站,neimenggu,122.40247,43.29704,G2511150020030,阿古拉收费站,NEI_MENG_GU,122.402455,43.297038,G2511150020030,阿古拉收费站,neimenggu,RAMP_PLAZA,122.402455,43.297038,0
G0045150020080,奈曼交接,neimenggu,,,G0045150020080,,,,,,G0045150020080,奈曼收费站,NEI_MENG_GU,120.747089,42.687207,G0045150020080,奈曼收费站,neimenggu,,120.747089,42.687207,0
S0089360410030,萍洪路上栗,jiangxi,,,S0089360410030,,,,,,S0089360410030,上栗收费站,JIANG_XI,113.784752,27.851932,S0089360410030,上栗收费站,jiangxi,RAMP_PLAZA,113.784752,27.851932,0
G6011360700040,兴赣路江口,jiangxi,,,G6011360700040,,,,,,G6011360700040,江口收费站,JIANG_XI,115.134039,25.973539,G6011360700040,江口收费站,jiangxi,RAMP_PLAZA,115.134039,25.973539,0
G0045150030060,三道井交接,neimenggu,,,G0045150030060,,,,,,G0045150030060,三道井收费站,NEI_MENG_GU,119.042422,42.255211,G0045150030060,三道井收费站,neimenggu,,119.042422,42.255211,0
G0045150030030,新惠,neimenggu,,,G0045150030030,2110016461,新惠收费站,neimenggu,119.93284,42.38726,G0045150030030,新惠收费站,NEI_MENG_GU,119.970419,42.490475,G0045150030030,新惠收费站,neimenggu,RAMP_PLAZA,119.970419,42.490475,0
G0045150040020,大营子,neimenggu,,,G0045150040020,,,,,,G0045150040020,大营子收费站,NEI_MENG_GU,118.923618,42.109939,G0045150040020,大营子收费站,neimenggu,RAMP_PLAZA,118.923618,42.109939,0
G0045150040030,锦山东,neimenggu,,,G0045150040030,2110053234,锦山东收费站,neimenggu,118.74031,41.95966,G0045150040030,锦山东收费站,NEI_MENG_GU,118.740339,41.959734,G0045150040030,锦山东收费站,neimenggu,RAMP_PLAZA,118.740339,41.959734,0
S0030440020030,土洋,guangdong,114.39265,22.615782,S0030440020030,2110038085,土洋收费站,guangdong,114.39754,22.6131,S0030440020030,土洋收费站,GUANG_DONG,114.397671,22.611746,S0030440020030,土洋收费站,guangdong,RAMP_PLAZA,114.397671,22.611746,0
G0015440060080,荷坳匝道,guangdong,114.212907,22.679849,G0015440060080,,,,,,G0015440060080,荷坳收费站,GUANG_DONG,114.217788,22.677056,G0015440060080,荷坳收费站,guangdong,RAMP_PLAZA,114.217788,22.677056,0
G4501110060020,温阳,beijing,116.145644,40.095453,G4501110060020,,,,,,G4501110060020,温阳路收费站,BEI_JING,116.156973,40.098089,G4501110060020,温阳路收费站,beijing,RAMP_PLAZA,116.156973,40.098089,0
G4501110030030,磁各庄,beijing,116.405409,39.719838,G4501110030030,2110005453,磁各庄收费站,beijing,116.40563,39.72107,G4501110030030,磁各庄收费站,BEI_JING,116.41262,39.721336,G4501110030030,磁各庄收费站,beijing,RAMP_PLAZA,116.41262,39.721336,0
G4501110010040,顺义南环,beijing,116.631174,40.07941,G4501110010040,2110005589,顺义南环收费站,beijing,116.63707,40.08041,G4501110010040,顺义南环收费站,BEI_JING,116.637029,40.080361,G4501110010040,顺义南环收费站,beijing,RAMP_PLAZA,116.637029,40.080361,0
S0032110010100,赵庄户,beijing,117.070136,40.083833,S0032110010100,2110005682,赵庄户收费站,beijing,117.07663,40.08518,S0032110010100,赵庄户收费站,BEI_JING,117.076614,40.084959,S0032110010100,赵庄户收费站,beijing,RAMP_PLAZA,117.076614,40.084959,0
G0006110010190,西拨子,beijing,115.974258,40.361057,G0006110010190,2110005559,西拨子收费站,beijing,115.98059,40.36212,G0006110010190,西拨子收费站,BEI_JING,115.980353,40.362219,G0006110010190,西拨子收费站,beijing,RAMP_PLAZA,115.980353,40.362219,0
G0006110010020,上清,beijing,116.353492,40.02136,G0006110010020,2110005787,上清收费站,beijing,116.35304,40.02509,G0006110010020,上清收费站,BEI_JING,116.353028,40.025046,G0006110010020,上清收费站,beijing,RAMP_PLAZA,116.353028,40.025046,0
G0030620090050,山丹东,gansu,101.167816,38.755394,G0030620090050,2110025850,山丹东收费站,gansu,101.16953,38.75599,G0030620090050,山丹东收费站,GAN_SU,101.169527,38.75591,G0030620090050,山丹东收费站,gansu,RAMP_PLAZA,101.169527,38.75591,0
G0003350010090,建阳南,fujian,,,G0003350010090,2110031811,建阳南收费站,fujian,118.12542,27.23338,G0003350010090,建阳南收费站,FU_JIAN,118.125383,27.23338,G0003350010090,建阳南收费站,fujian,MAIN_LINE_PLAZA,118.125383,27.23338,0
G2517350030020,安溪东溪,fujian,,,G2517350030020,,,,,,G2517350030020,安溪东溪收费站,FU_JIAN,118.134119,25.252958,G2517350030020,安溪东溪收费站,fujian,MAIN_LINE_PLAZA,118.134119,25.252958,0
